algo,metric,value
ML-DSA-44,sign-wall-ci95lo-ns,2482994.7
ML-DSA-44,sign-wall-ci95hi-ns,2719343.9
ML-DSA-44,sign-cyc-median,108706.0
ML-DSA-44,sign-cyc-mean,140457.2
ML-DSA-44,sign-persec,496.7
ML-DSA-44,verify-iters,1000
ML-DSA-44,verify-wall-median-ns,525352.0
ML-DSA-44,verify-wall-mean-ns,526886.6
ML-DSA-44,verify-wall-std-ns,4189.4
ML-DSA-44,verify-wall-p95-ns,535130.0
ML-DSA-44,verify-wall-p99-ns,536259.0
ML-DSA-44,verify-wall-ci95lo-ns,526626.9
ML-DSA-44,verify-wall-ci95hi-ns,527146.3
ML-DSA-44,verify-cyc-median,28363.0
ML-DSA-44,verify-cyc-mean,28445.9
ML-DSA-44,verify-persec,1903.5
ML-DSA-44,size-key-bits,10496
ML-DSA-44,size-pubkey-bytes,1312
ML-DSA-44,size-privkey-bytes,2560
ML-DSA-44,size-signature-bytes,2420
ML-DSA-65,keygen-iters,1000
ML-DSA-65,keygen-wall-median-ns,743815.0
ML-DSA-65,keygen-wall-mean-ns,745956.6
ML-DSA-65,keygen-wall-std-ns,6620.5
ML-DSA-65,keygen-wall-p95-ns,755370.0
ML-DSA-65,keygen-wall-p99-ns,761278.0
ML-DSA-65,keygen-wall-ci95lo-ns,745546.3
ML-DSA-65,keygen-wall-ci95hi-ns,746367.0
ML-DSA-65,keygen-cyc-median,40161.0
ML-DSA-65,keygen-cyc-mean,40275.7
ML-DSA-65,keygen-persec,1344.4
ML-DSA-65,sign-iters,1000
ML-DSA-65,sign-wall-median-ns,3526871.0
ML-DSA-65,sign-wall-mean-ns,4291952.8
ML-DSA-65,sign-wall-std-ns,3211143.5
ML-DSA-65,sign-wall-p95-ns,10919259.0
ML-DSA-65,sign-wall-p99-ns,15628260.0
ML-DSA-65,sign-wall-ci95lo-ns,4092924.1
ML-DSA-65,sign-wall-ci95hi-ns,4490981.6
ML-DSA-65,sign-cyc-median,190445.0
ML-DSA-65,sign-cyc-mean,231759.9
ML-DSA-65,sign-persec,283.5
ML-DSA-65,verify-iters,1000
ML-DSA-65,verify-wall-median-ns,795463.0
ML-DSA-65,verify-wall-mean-ns,797512.9
ML-DSA-65,verify-wall-std-ns,5164.8
ML-DSA-65,verify-wall-p95-ns,805000.0
ML-DSA-65,verify-wall-p99-ns,807574.0
ML-DSA-65,verify-wall-ci95lo-ns,797192.7
ML-DSA-65,verify-wall-ci95hi-ns,797833.0
ML-DSA-65,verify-cyc-median,42949.0
ML-DSA-65,verify-cyc-mean,43059.5
ML-DSA-65,verify-persec,1257.1
ML-DSA-65,size-key-bits,15616
ML-DSA-65,size-pubkey-bytes,1952
ML-DSA-65,size-privkey-bytes,4032
ML-DSA-65,size-signature-bytes,3309
ML-DSA-87,keygen-iters,1000
ML-DSA-87,keygen-wall-median-ns,1108926.0
ML-DSA-87,keygen-wall-mean-ns,1111483.1
ML-DSA-87,keygen-wall-std-ns,14682.6
ML-DSA-87,keygen-wall-p95-ns,1121537.0
ML-DSA-87,keygen-wall-p99-ns,1126019.0
ML-DSA-87,keygen-wall-ci95lo-ns,1110573.0
ML-DSA-87,keygen-wall-ci95hi-ns,1112393.1
ML-DSA-87,keygen-cyc-median,59877.0
ML-DSA-87,keygen-cyc-mean,60013.9
ML-DSA-87,keygen-persec,901.8
ML-DSA-87,sign-iters,1000
ML-DSA-87,sign-wall-median-ns,4125963.0
ML-DSA-87,sign-wall-mean-ns,4987316.1
ML-DSA-87,sign-wall-std-ns,3141890.0
ML-DSA-87,sign-wall-p95-ns,11852537.0
ML-DSA-87,sign-wall-p99-ns,15721574.0
ML-DSA-87,sign-wall-ci95lo-ns,4792579.8
ML-DSA-87,sign-wall-ci95hi-ns,5182052.5
ML-DSA-87,sign-cyc-median,222796.0
ML-DSA-87,sign-cyc-mean,269309.3
ML-DSA-87,sign-persec,242.4
ML-DSA-87,verify-iters,1000
ML-DSA-87,verify-wall-median-ns,1224019.0
ML-DSA-87,verify-wall-mean-ns,1226643.6
ML-DSA-87,verify-wall-std-ns,5405.9
ML-DSA-87,verify-wall-p95-ns,1233352.0
ML-DSA-87,verify-wall-p99-ns,1237760.0
ML-DSA-87,verify-wall-ci95lo-ns,1226308.6
