algo,metric,value
ecdh-P-256,keygen-wall-median-ns,92333.0
ecdh-P-256,keygen-wall-mean-ns,92735.0
ecdh-P-256,keygen-wall-std-ns,2790.5
ecdh-P-256,keygen-wall-p95-ns,93463.0
ecdh-P-256,keygen-wall-p99-ns,104333.0
ecdh-P-256,keygen-wall-ci95lo-ns,92562.1
ecdh-P-256,keygen-wall-ci95hi-ns,92908.0
ecdh-P-256,keygen-cyc-median,4981.0
ecdh-P-256,keygen-cyc-mean,5003.0
ecdh-P-256,keygen-persec,10830.4
ecdh-P-256,derive-iters,1000
ecdh-P-256,derive-wall-median-ns,262222.0
ecdh-P-256,derive-wall-mean-ns,266396.8
ecdh-P-256,derive-wall-std-ns,17964.7
ecdh-P-256,derive-wall-p95-ns,277630.0
ecdh-P-256,derive-wall-p99-ns,368703.0
ecdh-P-256,derive-wall-ci95lo-ns,265283.3
ecdh-P-256,derive-wall-ci95hi-ns,267510.2
ecdh-P-256,derive-cyc-median,14157.0
ecdh-P-256,derive-cyc-mean,14381.5
ecdh-P-256,derive-persec,3813.6
ecdh-P-256,size-key-bits,256
ecdh-P-256,size-pubkey-bytes,65
ecdh-P-384,keygen-iters,1000
ecdh-P-384,keygen-wall-median-ns,4010963.0
ecdh-P-384,keygen-wall-mean-ns,4013626.5
ecdh-P-384,keygen-wall-std-ns,8792.4
ecdh-P-384,keygen-wall-p95-ns,4032240.0
ecdh-P-384,keygen-wall-p99-ns,4048203.0
ecdh-P-384,keygen-wall-ci95lo-ns,4013081.5
ecdh-P-384,keygen-wall-ci95hi-ns,4014171.5
ecdh-P-384,keygen-cyc-median,216584.0
ecdh-P-384,keygen-cyc-mean,216728.0
ecdh-P-384,keygen-persec,249.3
ecdh-P-384,derive-iters,1000
ecdh-P-384,derive-wall-median-ns,3960444.0
ecdh-P-384,derive-wall-mean-ns,3961924.2
ecdh-P-384,derive-wall-std-ns,20385.0
ecdh-P-384,derive-wall-p95-ns,3995426.0
ecdh-P-384,derive-wall-p99-ns,4010352.0
ecdh-P-384,derive-wall-ci95lo-ns,3960660.7
ecdh-P-384,derive-wall-ci95hi-ns,3963187.7
ecdh-P-384,derive-cyc-median,213855.0
ecdh-P-384,derive-cyc-mean,213936.0
ecdh-P-384,derive-persec,252.5
ecdh-P-384,size-key-bits,384
ecdh-P-384,size-pubkey-bytes,97
ecdh-P-521,keygen-iters,1000
ecdh-P-521,keygen-wall-median-ns,10399519.0
ecdh-P-521,keygen-wall-mean-ns,10413461.1
ecdh-P-521,keygen-wall-std-ns,95279.0
ecdh-P-521,keygen-wall-p95-ns,10427815.0
ecdh-P-521,keygen-wall-p99-ns,10899315.0
ecdh-P-521,keygen-wall-ci95lo-ns,10407555.7
ecdh-P-521,keygen-wall-ci95hi-ns,10419366.6
ecdh-P-521,keygen-cyc-median,561566.0
ecdh-P-521,keygen-cyc-mean,562319.1
ecdh-P-521,keygen-persec,96.2
ecdh-P-521,derive-iters,1000
ecdh-P-521,derive-wall-median-ns,10312851.0
ecdh-P-521,derive-wall-mean-ns,10314348.3
ecdh-P-521,derive-wall-std-ns,12405.2
ecdh-P-521,derive-wall-p95-ns,10325167.0
ecdh-P-521,derive-wall-p99-ns,10390000.0
ecdh-P-521,derive-wall-ci95lo-ns,10313579.4
ecdh-P-521,derive-wall-ci95hi-ns,10315117.1
ecdh-P-521,derive-cyc-median,556886.0
ecdh-P-521,derive-cyc-mean,556966.8
ecdh-P-521,derive-persec,97.0
ecdh-P-521,size-key-bits,521
ecdh-P-521,size-pubkey-bytes,133
ML-KEM-512,keygen-iters,1000
ML-KEM-512,keygen-wall-median-ns,104741.0
ML-KEM-512,keygen-wall-mean-ns,105255.4
ML-KEM-512,keygen-wall-std-ns,5266.8
ML-KEM-512,keygen-wall-p95-ns,106463.0
ML-KEM-512,keygen-wall-p99-ns,116334.0
ML-KEM-512,keygen-wall-ci95lo-ns,104928.9
ML-KEM-512,keygen-wall-ci95hi-ns,105581.8
ML-KEM-512,keygen-cyc-median,5650.0
ML-KEM-512,keygen-cyc-mean,5677.9
ML-KEM-512,keygen-persec,9547.4
ML-KEM-512,encap-iters,1000
ML-KEM-512,encap-wall-median-ns,64278.0
ML-KEM-512,encap-wall-mean-ns,64489.6
ML-KEM-512,encap-wall-std-ns,1345.4
ML-KEM-512,encap-wall-p95-ns,64481.0
ML-KEM-512,encap-wall-p99-ns,74037.0
ML-KEM-512,encap-wall-ci95lo-ns,64406.2
ML-KEM-512,encap-wall-ci95hi-ns,64573.0
ML-KEM-512,encap-cyc-median,3468.0
ML-KEM-512,encap-cyc-mean,3479.6
ML-KEM-512,encap-persec,15557.4
ML-KEM-512,decap-iters,1000
ML-KEM-512,decap-wall-median-ns,92574.0
ML-KEM-512,decap-wall-mean-ns,92827.8
ML-KEM-512,decap-wall-std-ns,1570.8
ML-KEM-512,decap-wall-p95-ns,92740.0
ML-KEM-512,decap-wall-p99-ns,102037.0
ML-KEM-512,decap-wall-ci95lo-ns,92730.4
ML-KEM-512,decap-wall-ci95hi-ns,92925.2
ML-KEM-512,decap-cyc-median,4995.0
ML-KEM-512,decap-cyc-mean,5009.4
ML-KEM-512,decap-persec,10802.2
ML-KEM-512,size-key-bits,512
ML-KEM-512,size-pubkey-bytes,800
ML-KEM-512,size-privkey-bytes,1632
ML-KEM-512,size-ciphertext-bytes,768
ML-KEM-512,size-shared-secret-bytes,32
ML-KEM-768,keygen-iters,1000
ML-KEM-768,keygen-wall-median-ns,155019.0
ML-KEM-768,keygen-wall-mean-ns,155803.3
ML-KEM-768,keygen-wall-std-ns,5878.7
ML-KEM-768,keygen-wall-p95-ns,157519.0
ML-KEM-768,keygen-wall-p99-ns,166852.0
ML-KEM-768,keygen-wall-ci95lo-ns,155438.9
ML-KEM-768,keygen-wall-ci95hi-ns,156167.6
ML-KEM-768,keygen-cyc-median,8363.0
ML-KEM-768,keygen-cyc-mean,8405.7
ML-KEM-768,keygen-persec,6450.8
ML-KEM-768,encap-iters,1000
ML-KEM-768,encap-wall-median-ns,84907.0
ML-KEM-768,encap-wall-mean-ns,85253.3
ML-KEM-768,encap-wall-std-ns,2868.3
ML-KEM-768,encap-wall-p95-ns,85741.0
ML-KEM-768,encap-wall-p99-ns,94722.0
ML-KEM-768,encap-wall-ci95lo-ns,85075.5
ML-KEM-768,encap-wall-ci95hi-ns,85431.1
ML-KEM-768,encap-cyc-median,4580.0
ML-KEM-768,encap-cyc-mean,4598.9
ML-KEM-768,encap-persec,11777.6
ML-KEM-768,decap-iters,1000
ML-KEM-768,decap-wall-median-ns,127574.0
ML-KEM-768,decap-wall-mean-ns,127923.0
ML-KEM-768,decap-wall-std-ns,2625.5
ML-KEM-768,decap-wall-p95-ns,127815.0
ML-KEM-768,decap-wall-p99-ns,137574.0
ML-KEM-768,decap-wall-ci95lo-ns,127760.2
ML-KEM-768,decap-wall-ci95hi-ns,128085.7
ML-KEM-768,decap-cyc-median,6886.0
ML-KEM-768,decap-cyc-mean,6904.3
ML-KEM-768,decap-persec,7838.6
ML-KEM-768,size-key-bits,768
ML-KEM-768,size-pubkey-bytes,1184
ML-KEM-768,size-privkey-bytes,2400
ML-KEM-768,size-ciphertext-bytes,1088
ML-KEM-768,size-shared-secret-bytes,32
