algo,metric,value
ecdh-P-256,derive-cyc-median,108478.0
ecdh-P-256,derive-cyc-mean,108972.4
ecdh-P-256,derive-persec,24766.6
ecdh-P-256,size-key-bits,256
ecdh-P-256,size-pubkey-bytes,65
ecdh-P-384,keygen-iters,1000
ecdh-P-384,keygen-wall-median-ns,469464.0
ecdh-P-384,keygen-wall-mean-ns,470037.3
ecdh-P-384,keygen-wall-std-ns,6431.2
ecdh-P-384,keygen-wall-p95-ns,474711.0
ecdh-P-384,keygen-wall-p99-ns,479776.0
ecdh-P-384,keygen-wall-ci95lo-ns,469638.7
ecdh-P-384,keygen-wall-ci95hi-ns,470435.9
ecdh-P-384,keygen-cyc-median,1261862.0
ecdh-P-384,keygen-cyc-mean,1263401.2
ecdh-P-384,keygen-persec,2130.1
ecdh-P-384,derive-iters,1000
ecdh-P-384,derive-wall-median-ns,457232.0
ecdh-P-384,derive-wall-mean-ns,457639.9
ecdh-P-384,derive-wall-std-ns,2563.2
ecdh-P-384,derive-wall-p95-ns,462048.0
ecdh-P-384,derive-wall-p99-ns,464838.0
ecdh-P-384,derive-wall-ci95lo-ns,457481.1
ecdh-P-384,derive-wall-ci95hi-ns,457798.8
ecdh-P-384,derive-cyc-median,1228988.0
ecdh-P-384,derive-cyc-mean,1230065.6
ecdh-P-384,derive-persec,2187.1
ecdh-P-384,size-key-bits,384
ecdh-P-384,size-pubkey-bytes,97
ecdh-P-521,keygen-iters,1000
ecdh-P-521,keygen-wall-median-ns,1104030.0
ecdh-P-521,keygen-wall-mean-ns,1104796.7
ecdh-P-521,keygen-wall-std-ns,5894.5
ecdh-P-521,keygen-wall-p95-ns,1109125.0
ecdh-P-521,keygen-wall-p99-ns,1123895.0
ecdh-P-521,keygen-wall-ci95lo-ns,1104431.3
ecdh-P-521,keygen-wall-ci95hi-ns,1105162.0
ecdh-P-521,keygen-cyc-median,2967576.0
ecdh-P-521,keygen-cyc-mean,2969631.3
ecdh-P-521,keygen-persec,905.8
ecdh-P-521,derive-iters,1000
ecdh-P-521,derive-wall-median-ns,1093223.0
ecdh-P-521,derive-wall-mean-ns,1094222.3
ecdh-P-521,derive-wall-std-ns,8326.8
ecdh-P-521,derive-wall-p95-ns,1099545.0
ecdh-P-521,derive-wall-p99-ns,1113151.0
ecdh-P-521,derive-wall-ci95lo-ns,1093706.2
ecdh-P-521,derive-wall-ci95hi-ns,1094738.4
ecdh-P-521,derive-cyc-median,2938518.0
ecdh-P-521,derive-cyc-mean,2941206.9
ecdh-P-521,derive-persec,914.7
ecdh-P-521,size-key-bits,521
ecdh-P-521,size-pubkey-bytes,133
ML-KEM-512,keygen-iters,1000
ML-KEM-512,keygen-wall-median-ns,17509.0
ML-KEM-512,keygen-wall-mean-ns,18802.1
ML-KEM-512,keygen-wall-std-ns,5937.6
ML-KEM-512,keygen-wall-p95-ns,32573.0
ML-KEM-512,keygen-wall-p99-ns,33290.0
ML-KEM-512,keygen-wall-ci95lo-ns,18434.0
ML-KEM-512,keygen-wall-ci95hi-ns,19170.1
ML-KEM-512,keygen-cyc-median,47008.0
ML-KEM-512,keygen-cyc-mean,50467.9
ML-KEM-512,keygen-persec,57113.5
ML-KEM-512,encap-iters,1000
ML-KEM-512,encap-wall-median-ns,11198.0
ML-KEM-512,encap-wall-mean-ns,11237.9
ML-KEM-512,encap-wall-std-ns,242.6
ML-KEM-512,encap-wall-p95-ns,11437.0
ML-KEM-512,encap-wall-p99-ns,12510.0
ML-KEM-512,encap-wall-ci95lo-ns,11222.9
ML-KEM-512,encap-wall-ci95hi-ns,11253.0
ML-KEM-512,encap-cyc-median,30036.0
ML-KEM-512,encap-cyc-mean,30143.7
ML-KEM-512,encap-persec,89301.7
ML-KEM-512,decap-iters,1000
ML-KEM-512,decap-wall-median-ns,17276.0
ML-KEM-512,decap-wall-mean-ns,17343.4
ML-KEM-512,decap-wall-std-ns,557.1
ML-KEM-512,decap-wall-p95-ns,17547.0
ML-KEM-512,decap-wall-p99-ns,18689.0
ML-KEM-512,decap-wall-ci95lo-ns,17308.9
ML-KEM-512,decap-wall-ci95hi-ns,17378.0
ML-KEM-512,decap-cyc-median,46382.0
ML-KEM-512,decap-cyc-mean,46562.5
ML-KEM-512,decap-persec,57883.8
ML-KEM-512,size-key-bits,512
ML-KEM-512,size-pubkey-bytes,800
ML-KEM-512,size-privkey-bytes,1632
ML-KEM-512,size-ciphertext-bytes,768
ML-KEM-512,size-shared-secret-bytes,32
ML-KEM-768,keygen-iters,1000
ML-KEM-768,keygen-wall-median-ns,26299.0
ML-KEM-768,keygen-wall-mean-ns,27135.7
ML-KEM-768,keygen-wall-std-ns,4918.7
ML-KEM-768,keygen-wall-p95-ns,27905.0
ML-KEM-768,keygen-wall-p99-ns,48691.0
ML-KEM-768,keygen-wall-ci95lo-ns,26830.8
ML-KEM-768,keygen-wall-ci95hi-ns,27440.5
ML-KEM-768,keygen-cyc-median,70638.0
ML-KEM-768,keygen-cyc-mean,72874.7
ML-KEM-768,keygen-persec,38024.3
ML-KEM-768,encap-iters,1000
ML-KEM-768,encap-wall-median-ns,14637.0
ML-KEM-768,encap-wall-mean-ns,14683.9
ML-KEM-768,encap-wall-std-ns,712.8
ML-KEM-768,encap-wall-p95-ns,14796.0
ML-KEM-768,encap-wall-p99-ns,15927.0
ML-KEM-768,encap-wall-ci95lo-ns,14639.7
ML-KEM-768,encap-wall-ci95hi-ns,14728.0
ML-KEM-768,encap-cyc-median,39288.0
ML-KEM-768,encap-cyc-mean,39414.6
ML-KEM-768,encap-persec,68320.0
ML-KEM-768,decap-iters,1000
ML-KEM-768,decap-wall-median-ns,22921.0
