algo,metric,n,median,mean,min,max,cv_pct
ML-KEM-768,encap-wall-p99-ns,5,16027,16000,15855,16161,0.73
ML-KEM-768,encap-wall-std-ns,5,403.3,432.5,243.9,712.8,39.89
ML-KEM-768,keygen-cyc-mean,5,72874.7,73296.7,71247.8,75775.5,2.84
ML-KEM-768,keygen-cyc-median,5,70638,70659.6,70462,70830,0.23
ML-KEM-768,keygen-iters,5,1000,1000,1000,1000,0.00
ML-KEM-768,keygen-persec,5,38024.3,38009.98,37919,38117,0.23
ML-KEM-768,keygen-wall-ci95hi-ns,5,27440.5,27579.76,26640.2,28743,3.54
ML-KEM-768,keygen-wall-ci95lo-ns,5,26830.8,27006.24,26414.6,27693.3,2.16
ML-KEM-768,keygen-wall-mean-ns,5,27135.7,27293.04,26527.4,28218.2,2.85
ML-KEM-768,keygen-wall-median-ns,5,26299,26309,26235,26372,0.23
ML-KEM-768,keygen-wall-p95-ns,5,27905,35888,27380,48161,31.17
ML-KEM-768,keygen-wall-p99-ns,5,48681,40589.6,28349,48766,27.40
ML-KEM-768,keygen-wall-std-ns,5,4918.7,4626.78,931.7,8468.3,70.02
ML-KEM-768,size-ciphertext-bytes,5,1088,1088,1088,1088,0.00
ML-KEM-768,size-key-bits,5,768,768,768,768,0.00
ML-KEM-768,size-privkey-bytes,5,2400,2400,2400,2400,0.00
ML-KEM-768,size-pubkey-bytes,5,1184,1184,1184,1184,0.00
ML-KEM-768,size-shared-secret-bytes,5,32,32,32,32,0.00
ecdh-P-256,derive-cyc-mean,5,108689.8,108732.32,108613.2,108972.4,0.13
ecdh-P-256,derive-cyc-median,5,108478,108470.4,108424,108520,0.04
ecdh-P-256,derive-iters,5,1000,1000,1000,1000,0.00
ecdh-P-256,derive-persec,5,24766.6,24768.06,24756.2,24778.8,0.04
ecdh-P-256,derive-wall-ci95hi-ns,5,40504.7,40519.46,40451.8,40606.2,0.15
ecdh-P-256,derive-wall-ci95lo-ns,5,40407.5,40425.18,40376.2,40516.6,0.13
ecdh-P-256,derive-wall-mean-ns,5,40456.1,40472.32,40428.2,40561.4,0.13
ecdh-P-256,derive-wall-median-ns,5,40377,40374.6,40357,40394,0.04
ecdh-P-256,derive-wall-p95-ns,5,40640,41084.2,40594,42202,1.71
ecdh-P-256,derive-wall-p99-ns,5,42072,42344.4,41881,43449,1.49
ecdh-P-256,derive-wall-std-ns,5,722.2,760.6,381.2,1463,56.33
ecdh-P-256,keygen-cyc-mean,5,39524.9,39541.52,38981.7,40576.7,1.65
ecdh-P-256,keygen-cyc-median,5,32562,32451.2,31894,32746,1.01
ecdh-P-256,keygen-iters,5,1000,1000,1000,1000,0.00
ecdh-P-256,keygen-persec,5,82385.9,82665.06,81913.5,84104.3,1.02
ecdh-P-256,keygen-wall-ci95hi-ns,5,15133.5,15162.08,14875.9,15518,1.51
ecdh-P-256,keygen-wall-ci95lo-ns,5,14360,14343,13961.4,14759.8,2.04
ecdh-P-256,keygen-wall-mean-ns,5,14746.4,14752.54,14543.6,15138.9,1.65
ecdh-P-256,keygen-wall-median-ns,5,12138,12098,11890,12208,1.01
ecdh-P-256,keygen-wall-p95-ns,5,25190,25176.8,25077,25306,0.37
ecdh-P-256,keygen-wall-p99-ns,5,26164,26162.4,25911,26542,0.93
ecdh-P-256,keygen-wall-std-ns,5,6116.6,6607.64,5361,9455.6,24.62
ecdh-P-256,size-key-bits,5,256,256,256,256,0.00
ecdh-P-256,size-pubkey-bytes,5,65,65,65,65,0.00
ecdh-P-384,derive-cyc-mean,5,1230065.6,1229987.74,1229488.9,1230491.2,0.03
ecdh-P-384,derive-cyc-median,5,1228988,1229014.8,1228230,1229678,0.04
ecdh-P-384,derive-iters,5,1000,1000,1000,1000,0.00
ecdh-P-384,derive-persec,5,2187.1,2187,2185.8,2188.3,0.04
ecdh-P-384,derive-wall-ci95hi-ns,5,457798.8,457771.62,457545.5,457972.9,0.04
ecdh-P-384,derive-wall-ci95lo-ns,5,457481.1,457450.12,457295.4,457613.5,0.03
ecdh-P-384,derive-wall-mean-ns,5,457639.9,457610.84,457420.4,457793.2,0.03
ecdh-P-384,derive-wall-median-ns,5,457232,457247.2,456968,457490,0.04
ecdh-P-384,derive-wall-p95-ns,5,462048,461799.6,460433,462423,0.17
ecdh-P-384,derive-wall-p99-ns,5,464838,465981.6,463382,468658,0.52
ecdh-P-384,derive-wall-std-ns,5,2563.2,2593.48,2017.6,2924.5,14.12
ecdh-P-384,keygen-cyc-mean,5,1261182.7,1260669.66,1256992.3,1263401.2,0.20
ecdh-P-384,keygen-cyc-median,5,1259682,1259441.2,1255502,1261904,0.21
ecdh-P-384,keygen-iters,5,1000,1000,1000,1000,0.00
ecdh-P-384,keygen-persec,5,2133.8,2134.18,2129.9,2140.9,0.22
ecdh-P-384,keygen-wall-ci95hi-ns,5,469458.3,469280.42,467868.4,470435.9,0.21
ecdh-P-384,keygen-wall-ci95lo-ns,5,468966.8,468769.52,467439,469638.7,0.19
ecdh-P-384,keygen-wall-mean-ns,5,469212.6,469024.96,467653.7,470037.3,0.20
ecdh-P-384,keygen-wall-median-ns,5,468653,468566.8,467098,469497,0.21
ecdh-P-384,keygen-wall-p95-ns,5,474263,474112.2,472805,475063,0.19
ecdh-P-384,keygen-wall-p99-ns,5,480527,480241.4,477398,482473,0.39
ecdh-P-384,keygen-wall-std-ns,5,3896.3,4121.36,2851.2,6431.2,33.13
ecdh-P-384,size-key-bits,5,384,384,384,384,0.00
ecdh-P-384,size-pubkey-bytes,5,97,97,97,97,0.00
ecdh-P-521,derive-cyc-mean,5,2941206.9,2940841.84,2938583.4,2942350.5,0.05
