Iter,Param,Category,Keygen_Cyc,Keygen_ns,Sign_Cyc,Sign_ns,Verify_Cyc,Verify_ns
63,87,5,1034900,385314,1746758,650223,850950,317002
64,87,5,787116,293204,1512812,562942,630462,234696
65,87,5,653452,243311,1427402,531229,584570,217579
66,87,5,1049332,390662,1345594,501133,1012396,376806
67,87,5,1002906,373758,4120460,1533649,624570,232494
68,87,5,761260,283440,1511644,562823,591966,220349
69,87,5,654902,243823,1778230,661693,602564,224278
70,87,5,684898,255092,1306638,486555,655492,244001
71,87,5,647938,241211,1175562,437638,1049278,390610
72,87,5,934942,348075,3294072,1225918,791326,294756
73,87,5,1060178,394945,1819874,677523,598640,222875
74,87,5,710372,264528,1075870,400393,630754,234786
75,87,5,643096,239415,1164440,433344,639416,238005
76,87,5,837310,311928,1714338,638237,713106,265580
77,87,5,741914,276325,3587260,1335288,940796,350268
78,87,5,676824,252089,4909726,1826787,620806,231239
79,87,5,722684,269065,1269926,472700,817960,304753
80,87,5,679702,253077,1337640,497929,775570,288761
81,87,5,837554,311850,2807076,1044598,664140,247345
82,87,5,1094720,407555,2890270,1075824,599474,223238
83,87,5,847622,315655,1207046,449299,746560,277876
84,87,5,839388,312472,2520418,937812,754520,280840
85,87,5,715798,266576,997134,371248,648122,241250
86,87,5,671612,250045,870562,323982,589026,219240
87,87,5,633414,235819,1757506,654008,627722,233657
88,87,5,643264,239478,2292592,853070,644282,239817
89,87,5,719284,267917,876738,326318,591820,220279
90,87,5,1280614,477107,3325404,1238166,621204,231275
91,87,5,634418,236190,2062368,767507,590910,220063
92,87,5,656052,244319,2475978,921274,748528,278603
93,87,5,668636,248949,2306696,858320,623792,232195
94,87,5,713060,265518,1859614,691971,662024,246424
95,87,5,754810,281032,1329810,494835,585024,217747
96,87,5,675262,251484,889854,331190,587356,218635
97,87,5,695382,258882,892448,332144,591016,220060
98,87,5,710860,264656,858986,319719,689004,256524
99,87,5,800658,298179,1180522,439341,593734,220994
100,87,5,689190,256633,1094128,407163,584398,217518
