algo,metric,value
ecdh-P-384,keygen-wall-p99-ns,4431518
ecdh-P-384,keygen-wall-std-ns,68990.2
ecdh-P-384,size-key-bits,384
ecdh-P-384,size-pubkey-bytes,97
ecdh-P-521,derive-cyc-mean,558104.3
ecdh-P-521,derive-cyc-median,556886
ecdh-P-521,derive-iters,1000
ecdh-P-521,derive-persec,97
ecdh-P-521,derive-wall-ci95hi-ns,10340560.8
ecdh-P-521,derive-wall-ci95lo-ns,10330275.9
ecdh-P-521,derive-wall-mean-ns,10335418.3
ecdh-P-521,derive-wall-median-ns,10312851
ecdh-P-521,derive-wall-p95-ns,10370481
ecdh-P-521,derive-wall-p99-ns,10727611
ecdh-P-521,derive-wall-std-ns,82968.9
ecdh-P-521,keygen-cyc-mean,563177.1
ecdh-P-521,keygen-cyc-median,561605
ecdh-P-521,keygen-iters,1000
ecdh-P-521,keygen-persec,96.2
ecdh-P-521,keygen-wall-ci95hi-ns,10437415.9
ecdh-P-521,keygen-wall-ci95lo-ns,10417619.3
ecdh-P-521,keygen-wall-mean-ns,10429338.7
ecdh-P-521,keygen-wall-median-ns,10400203
ecdh-P-521,keygen-wall-p95-ns,10452760
ecdh-P-521,keygen-wall-p99-ns,10899315
ecdh-P-521,keygen-wall-std-ns,130318.6
ecdh-P-521,size-key-bits,521
ecdh-P-521,size-pubkey-bytes,133
ecdsa-P-256,keygen-cyc-mean,5022.1
ecdsa-P-256,keygen-cyc-median,4994
ecdsa-P-256,keygen-iters,1000
ecdsa-P-256,keygen-persec,10802.2
ecdsa-P-256,keygen-wall-ci95hi-ns,93323.8
ecdsa-P-256,keygen-wall-ci95lo-ns,92856.4
ecdsa-P-256,keygen-wall-mean-ns,93090.1
ecdsa-P-256,keygen-wall-median-ns,92574
ecdsa-P-256,keygen-wall-p95-ns,93648
ecdsa-P-256,keygen-wall-p99-ns,104593
ecdsa-P-256,keygen-wall-std-ns,3770.1
ecdsa-P-256,sign-cyc-mean,6388.9
ecdsa-P-256,sign-cyc-median,6367
ecdsa-P-256,sign-iters,1000
ecdsa-P-256,sign-persec,8473.2
ecdsa-P-256,sign-wall-ci95hi-ns,118554.6
ecdsa-P-256,sign-wall-ci95lo-ns,118300.2
ecdsa-P-256,sign-wall-mean-ns,118430.7
ecdsa-P-256,sign-wall-median-ns,118019
ecdsa-P-256,sign-wall-p95-ns,119056
ecdsa-P-256,sign-wall-p99-ns,128388
ecdsa-P-256,sign-wall-std-ns,1999.3
ecdsa-P-256,size-key-bits,256
ecdsa-P-256,size-pubkey-bytes,65
ecdsa-P-256,size-signature-max-bytes,72
ecdsa-P-256,verify-cyc-mean,18721.2
ecdsa-P-256,verify-cyc-median,18651
ecdsa-P-256,verify-iters,1000
ecdsa-P-256,verify-persec,2894.7
ecdsa-P-256,verify-wall-ci95hi-ns,347045.1
ecdsa-P-256,verify-wall-ci95lo-ns,346491.7
ecdsa-P-256,verify-wall-mean-ns,346788.2
ecdsa-P-256,verify-wall-median-ns,345463
ecdsa-P-256,verify-wall-p95-ns,355389
ecdsa-P-256,verify-wall-p99-ns,358371
ecdsa-P-256,verify-wall-std-ns,4782.6
ecdsa-P-384,keygen-cyc-mean,217158.1
ecdsa-P-384,keygen-cyc-median,216634
ecdsa-P-384,keygen-iters,1000
ecdsa-P-384,keygen-persec,249.3
ecdsa-P-384,keygen-wall-ci95hi-ns,4023377.8
ecdsa-P-384,keygen-wall-ci95lo-ns,4017876.9
ecdsa-P-384,keygen-wall-mean-ns,4021596.9
ecdsa-P-384,keygen-wall-median-ns,4011889
ecdsa-P-384,keygen-wall-p95-ns,4030426
ecdsa-P-384,keygen-wall-p99-ns,4068500
ecdsa-P-384,keygen-wall-std-ns,14831
ecdsa-P-384,sign-cyc-mean,225662.7
ecdsa-P-384,sign-cyc-median,225625
ecdsa-P-384,sign-iters,1000
ecdsa-P-384,sign-persec,239.3
ecdsa-P-384,sign-wall-ci95hi-ns,4179410.8
ecdsa-P-384,sign-wall-ci95lo-ns,4178754.3
ecdsa-P-384,sign-wall-mean-ns,4179082.5
ecdsa-P-384,sign-wall-median-ns,4178371
ecdsa-P-384,sign-wall-p95-ns,4187111
ecdsa-P-384,sign-wall-p99-ns,4207667
ecdsa-P-384,sign-wall-std-ns,12205.6
ecdsa-P-384,size-key-bits,384
ecdsa-P-384,size-pubkey-bytes,97
ecdsa-P-384,size-signature-max-bytes,104
ecdsa-P-384,verify-cyc-mean,178525.4
ecdsa-P-384,verify-cyc-median,178531
ecdsa-P-384,verify-iters,1000
ecdsa-P-384,verify-persec,302.5
ecdsa-P-384,verify-wall-ci95hi-ns,3306718.3
ecdsa-P-384,verify-wall-ci95lo-ns,3305689.9
ecdsa-P-384,verify-wall-mean-ns,3306204.1
ecdsa-P-384,verify-wall-median-ns,3306278
ecdsa-P-384,verify-wall-p95-ns,3317259
ecdsa-P-384,verify-wall-p99-ns,3329778
ecdsa-P-384,verify-wall-std-ns,16392.3
ecdsa-P-521,keygen-cyc-mean,562986.1
ecdsa-P-521,keygen-cyc-median,561642
ecdsa-P-521,keygen-iters,1000
ecdsa-P-521,keygen-persec,96.1
ecdsa-P-521,keygen-wall-ci95hi-ns,10434117.9
ecdsa-P-521,keygen-wall-ci95lo-ns,10417695.3
ecdsa-P-521,keygen-wall-mean-ns,10425906.6
ecdsa-P-521,keygen-wall-median-ns,10400907
ecdsa-P-521,keygen-wall-p95-ns,10494000
ecdsa-P-521,keygen-wall-p99-ns,11178593
ecdsa-P-521,keygen-wall-std-ns,132481
ecdsa-P-521,sign-cyc-mean,595617
ecdsa-P-521,sign-cyc-median,594074
ecdsa-P-521,sign-iters,1000
ecdsa-P-521,sign-persec,90.9
ecdsa-P-521,sign-wall-ci95hi-ns,11038711.4
ecdsa-P-521,sign-wall-ci95lo-ns,11021497.9
ecdsa-P-521,sign-wall-mean-ns,11030104.6
ecdsa-P-521,sign-wall-median-ns,11001519
ecdsa-P-521,sign-wall-p95-ns,11153000
ecdsa-P-521,sign-wall-p99-ns,11778167
ecdsa-P-521,sign-wall-std-ns,138848.5
ecdsa-P-521,size-key-bits,521
ecdsa-P-521,size-pubkey-bytes,133
ecdsa-P-521,size-signature-max-bytes,139
ecdsa-P-521,verify-cyc-mean,449221.9
ecdsa-P-521,verify-cyc-median,448963
ecdsa-P-521,verify-iters,1000
ecdsa-P-521,verify-persec,120.3
ecdsa-P-521,verify-wall-ci95hi-ns,8320304.6
ecdsa-P-521,verify-wall-ci95lo-ns,8317925.7
ecdsa-P-521,verify-wall-mean-ns,8319115.2
ecdsa-P-521,verify-wall-median-ns,8314314
ecdsa-P-521,verify-wall-p95-ns,8351500
ecdsa-P-521,verify-wall-p99-ns,8979722
ecdsa-P-521,verify-wall-std-ns,111688.6
rsa-15360,key-size,15360
rsa-15360,keygen-cyc-mean,19688352855.6
rsa-15360,keygen-cyc-median,20206214397
rsa-15360,keygen-iters,5
rsa-15360,keygen-persec,0
rsa-15360,keygen-wall-ci95hi-ns,556496001649.6
rsa-15360,keygen-wall-ci95lo-ns,164608689139.3
rsa-15360,keygen-wall-mean-ns,364599127127.2
rsa-15360,keygen-wall-median-ns,374189155795
rsa-15360,keygen-wall-p95-ns,778835109369
rsa-15360,keygen-wall-p99-ns,778835109369
rsa-15360,keygen-wall-std-ns,257452411134.7
rsa-15360,oaep-decrypt-cyc-mean,86579641
rsa-15360,oaep-decrypt-cyc-median,86478813
rsa-15360,oaep-decrypt-iters,100
rsa-15360,oaep-decrypt-persec,0.6
rsa-15360,oaep-decrypt-wall-ci95hi-ns,1605363863.9
rsa-15360,oaep-decrypt-wall-ci95lo-ns,1601245272.9
rsa-15360,oaep-decrypt-wall-mean-ns,1603326933.2
rsa-15360,oaep-decrypt-wall-median-ns,1601459740
rsa-15360,oaep-decrypt-wall-p95-ns,1601607702
rsa-15360,oaep-decrypt-wall-p99-ns,1662254314
rsa-15360,oaep-decrypt-wall-std-ns,10392503.6
rsa-15360,oaep-encrypt-cyc-mean,355256.3
rsa-15360,oaep-encrypt-cyc-median,355312
rsa-15360,oaep-encrypt-iters,100
rsa-15360,oaep-encrypt-persec,152
rsa-15360,oaep-encrypt-wall-ci95hi-ns,6579780.9
rsa-15360,oaep-encrypt-wall-ci95lo-ns,6578042.9
rsa-15360,oaep-encrypt-wall-mean-ns,6578911.9
rsa-15360,oaep-encrypt-wall-median-ns,6579963
rsa-15360,oaep-encrypt-wall-p95-ns,6585240
rsa-15360,oaep-encrypt-wall-p99-ns,6587185
rsa-15360,oaep-encrypt-wall-std-ns,4433.6
rsa-15360,pss-sign-cyc-mean,86556406.8
rsa-15360,pss-sign-cyc-median,86453373
rsa-15360,pss-sign-iters,100
rsa-15360,pss-sign-persec,0.6
rsa-15360,pss-sign-wall-ci95hi-ns,1605029151
rsa-15360,pss-sign-wall-ci95lo-ns,1600764635.4
rsa-15360,pss-sign-wall-mean-ns,1602896893.2
rsa-15360,pss-sign-wall-median-ns,1600988610
rsa-15360,pss-sign-wall-p95-ns,1601116851
rsa-15360,pss-sign-wall-p99-ns,1664437110
rsa-15360,pss-sign-wall-std-ns,10875393.2
rsa-15360,pss-verify-cyc-mean,354087.1
rsa-15360,pss-verify-cyc-median,354149
rsa-15360,pss-verify-iters,100
rsa-15360,pss-verify-persec,152.5
rsa-15360,pss-verify-wall-ci95hi-ns,6558118.6
rsa-15360,pss-verify-wall-ci95lo-ns,6555893.8
rsa-15360,pss-verify-wall-mean-ns,6557263
rsa-15360,pss-verify-wall-median-ns,6558426
rsa-15360,pss-verify-wall-p95-ns,6562574
rsa-15360,pss-verify-wall-p99-ns,6564723
rsa-15360,pss-verify-wall-std-ns,5130.9
rsa-15360,size-key-bits,15360
rsa-15360,size-signature-bytes,1920
rsa-3072,key-size,3072
rsa-3072,keygen-cyc-mean,82702592.5
rsa-3072,keygen-cyc-median,70918823
rsa-3072,keygen-iters,1000
rsa-3072,keygen-persec,0.8
rsa-3072,keygen-wall-ci95hi-ns,1589461159.3
rsa-3072,keygen-wall-ci95lo-ns,1473598180.2
rsa-3072,keygen-wall-mean-ns,1531529669.7
rsa-3072,keygen-wall-median-ns,1313311703
rsa-3072,keygen-wall-p95-ns,3423940665
rsa-3072,keygen-wall-p99-ns,4643335053
rsa-3072,keygen-wall-std-ns,970034985.6
