algo,metric,n,median,mean,min,max,cv_pct
ecdh-P-256,keygen-wall-median-ns,5,92296,92366.4,92259,92666,0.18
ecdh-P-256,keygen-wall-p95-ns,5,93463,93841,93149,95815,1.19
ecdh-P-256,keygen-wall-p99-ns,5,105259,115629.4,104333,157889,20.44
ecdh-P-256,keygen-wall-std-ns,5,2961.6,5180.46,2780.3,13188.7,87.15
ecdh-P-256,size-key-bits,5,256,256,256,256,0.00
ecdh-P-256,size-pubkey-bytes,5,65,65,65,65,0.00
ecdh-P-384,derive-cyc-mean,5,213936,213701.74,212622.3,214602.6,0.38
ecdh-P-384,derive-cyc-median,5,213570,213331.8,212552,213855,0.25
ecdh-P-384,derive-iters,5,1000,1000,1000,1000,0.00
ecdh-P-384,derive-persec,5,252.8,253.1,252.5,254,0.25
ecdh-P-384,derive-wall-ci95hi-ns,5,3963187.7,3959926.1,3938493.1,3979303.4,0.42
ecdh-P-384,derive-wall-ci95lo-ns,5,3960660.7,3955243.98,3936699.7,3969218.6,0.33
ecdh-P-384,derive-wall-mean-ns,5,3961924.2,3957585.04,3937596.4,3974261,0.38
ecdh-P-384,derive-wall-median-ns,5,3955167,3950737.2,3936278,3960444,0.25
ecdh-P-384,derive-wall-p95-ns,5,3993740,3986048,3942685,4027833,0.79
ecdh-P-384,derive-wall-p99-ns,5,4010352,4115814.8,3964685,4407908,4.70
ecdh-P-384,derive-wall-std-ns,5,20385,37770.92,12166.9,81355,82.84
ecdh-P-384,keygen-cyc-mean,5,217245.8,217106.78,216621.5,217498.9,0.19
ecdh-P-384,keygen-cyc-median,5,216584,216597.6,216552,216703,0.03
ecdh-P-384,keygen-iters,5,1000,1000,1000,1000,0.00
ecdh-P-384,keygen-persec,5,249.3,249.3,249.2,249.4,0.03
ecdh-P-384,keygen-wall-ci95hi-ns,5,4027648.9,4023622.62,4012246.5,4032978.3,0.24
ecdh-P-384,keygen-wall-ci95lo-ns,5,4018782.6,4017644.06,4011059.6,4022780.8,0.13
ecdh-P-384,keygen-wall-mean-ns,5,4023215.7,4020633.3,4011653,4027879.5,0.19
ecdh-P-384,keygen-wall-median-ns,5,4010963,4011203.8,4010370,4013148,0.03
ecdh-P-384,keygen-wall-p95-ns,5,4033778,4037825.8,4017407,4056889,0.38
ecdh-P-384,keygen-wall-p99-ns,5,4431518,4292574,4032352,4491297,5.39
ecdh-P-384,keygen-wall-std-ns,5,68990.2,48229.28,8792.4,82263.7,74.63
ecdh-P-384,size-key-bits,5,384,384,384,384,0.00
ecdh-P-384,size-pubkey-bytes,5,97,97,97,97,0.00
ecdh-P-521,derive-cyc-mean,5,558104.3,557817.72,556966.8,558438.2,0.12
ecdh-P-521,derive-cyc-median,5,556886,556960.2,556752,557309,0.04
ecdh-P-521,derive-iters,5,1000,1000,1000,1000,0.00
ecdh-P-521,derive-persec,5,97,96.96,96.9,97,0.06
ecdh-P-521,derive-wall-ci95hi-ns,5,10340560.8,10335079.84,10315117.1,10350918.7,0.16
ecdh-P-521,derive-wall-ci95lo-ns,5,10330275.9,10325127.56,10313579.4,10332534.3,0.09
ecdh-P-521,derive-wall-mean-ns,5,10335418.3,10330103.7,10314348.3,10341601.7,0.12
ecdh-P-521,derive-wall-median-ns,5,10312851,10314218.4,10310370,10320685,0.04
ecdh-P-521,derive-wall-p95-ns,5,10370481,10390111,10325167,10467833,0.67
ecdh-P-521,derive-wall-p99-ns,5,10727611,10770011,10390000,11217018,3.59
ecdh-P-521,derive-wall-std-ns,5,82968.9,80285.64,12405.2,150321.7,78.38
ecdh-P-521,keygen-cyc-mean,5,563177.1,563294.7,562319.1,564616.1,0.16
ecdh-P-521,keygen-cyc-median,5,561605,561801.6,561565,562418,0.06
ecdh-P-521,keygen-iters,5,1000,1000,1000,1000,0.00
ecdh-P-521,keygen-persec,5,96.2,96.14,96,96.2,0.09
ecdh-P-521,keygen-wall-ci95hi-ns,5,10437415.9,10442276.88,10419366.6,10468889.6,0.23
ecdh-P-521,keygen-wall-ci95lo-ns,5,10417619.3,10420767.24,10407555.7,10443099.2,0.13
ecdh-P-521,keygen-wall-mean-ns,5,10429338.7,10431522.06,10413461.1,10455994.4,0.16
ecdh-P-521,keygen-wall-median-ns,5,10400203,10403862.8,10399481,10415278,0.06
ecdh-P-521,keygen-wall-p95-ns,5,10452760,10493481.6,10427815,10678778,1.00
ecdh-P-521,keygen-wall-p99-ns,5,10899315,11013633.4,10514815,11599482,3.66
ecdh-P-521,keygen-wall-std-ns,5,130318.6,173519.24,24538.4,409407.7,85.00
ecdh-P-521,size-key-bits,5,521,521,521,521,0.00
ecdh-P-521,size-pubkey-bytes,5,133,133,133,133,0.00
ecdsa-P-256,keygen-cyc-mean,5,5022.1,5017.76,5004.9,5026.2,0.20
ecdsa-P-256,keygen-cyc-median,5,4994,4992.8,4980,5005,0.18
ecdsa-P-256,keygen-iters,5,1000,1000,1000,1000,0.00
ecdsa-P-256,keygen-persec,5,10802.2,10804.84,10776.3,10832.6,0.19
ecdsa-P-256,keygen-wall-ci95hi-ns,5,93323.8,93258.68,93041.2,93479.1,0.21
ecdsa-P-256,keygen-wall-ci95lo-ns,5,92856.4,92773.26,92471.9,93002.3,0.22
ecdsa-P-256,keygen-wall-mean-ns,5,93090.1,93015.96,92774,93187.7,0.20
