algo,metric,value
ML-DSA-87,sign-wall-std-ns,471714.4
ML-DSA-87,size-key-bits,20736
ML-DSA-87,size-privkey-bytes,4896
ML-DSA-87,size-pubkey-bytes,2592
ML-DSA-87,size-signature-bytes,4627
ML-DSA-87,verify-cyc-mean,494950.4
ML-DSA-87,verify-cyc-median,494700
ML-DSA-87,verify-iters,1000
ML-DSA-87,verify-persec,5432.9
ML-DSA-87,verify-wall-ci95hi-ns,184272.3
ML-DSA-87,verify-wall-ci95lo-ns,184048.6
ML-DSA-87,verify-wall-mean-ns,184160.4
ML-DSA-87,verify-wall-median-ns,184064
ML-DSA-87,verify-wall-p95-ns,185815
ML-DSA-87,verify-wall-p99-ns,187837
ML-DSA-87,verify-wall-std-ns,1929.3
ML-KEM-1024,decap-cyc-mean,81510.3
ML-KEM-1024,decap-cyc-median,81376
ML-KEM-1024,decap-iters,1000
ML-KEM-1024,decap-persec,33001.1
ML-KEM-1024,decap-wall-ci95hi-ns,30362.7
ML-KEM-1024,decap-wall-ci95lo-ns,30321.6
ML-KEM-1024,decap-wall-mean-ns,30345.4
ML-KEM-1024,decap-wall-median-ns,30302
ML-KEM-1024,decap-wall-p95-ns,30616
ML-KEM-1024,decap-wall-p99-ns,31611
ML-KEM-1024,decap-wall-std-ns,279.8
ML-KEM-1024,encap-cyc-mean,52298.2
ML-KEM-1024,encap-cyc-median,52142
ML-KEM-1024,encap-iters,1000
ML-KEM-1024,encap-persec,51496
ML-KEM-1024,encap-wall-ci95hi-ns,19499.8
ML-KEM-1024,encap-wall-ci95lo-ns,19452.7
ML-KEM-1024,encap-wall-mean-ns,19482.1
ML-KEM-1024,encap-wall-median-ns,19419
ML-KEM-1024,encap-wall-p95-ns,19700
ML-KEM-1024,encap-wall-p99-ns,20963
ML-KEM-1024,encap-wall-std-ns,284.5
ML-KEM-1024,keygen-cyc-mean,110283.4
ML-KEM-1024,keygen-cyc-median,107396
ML-KEM-1024,keygen-iters,1000
ML-KEM-1024,keygen-persec,25015
ML-KEM-1024,keygen-wall-ci95hi-ns,41410.8
ML-KEM-1024,keygen-wall-ci95lo-ns,40691.9
ML-KEM-1024,keygen-wall-mean-ns,41051.4
ML-KEM-1024,keygen-wall-median-ns,39976
ML-KEM-1024,keygen-wall-p95-ns,42215
ML-KEM-1024,keygen-wall-p99-ns,72940
ML-KEM-1024,keygen-wall-std-ns,6674.9
ML-KEM-1024,size-ciphertext-bytes,1568
ML-KEM-1024,size-key-bits,1024
ML-KEM-1024,size-privkey-bytes,3168
ML-KEM-1024,size-pubkey-bytes,1568
ML-KEM-1024,size-shared-secret-bytes,32
ML-KEM-512,decap-cyc-mean,46482.3
ML-KEM-512,decap-cyc-median,46382
ML-KEM-512,decap-iters,1000
ML-KEM-512,decap-persec,57883.8
ML-KEM-512,decap-wall-ci95hi-ns,17335.9
ML-KEM-512,decap-wall-ci95lo-ns,17300
ML-KEM-512,decap-wall-mean-ns,17313.2
ML-KEM-512,decap-wall-median-ns,17276
ML-KEM-512,decap-wall-p95-ns,17547
ML-KEM-512,decap-wall-p99-ns,18631
ML-KEM-512,decap-wall-std-ns,241.9
ML-KEM-512,encap-cyc-mean,30143.1
ML-KEM-512,encap-cyc-median,30038
ML-KEM-512,encap-iters,1000
ML-KEM-512,encap-persec,89301.7
ML-KEM-512,encap-wall-ci95hi-ns,11250.3
ML-KEM-512,encap-wall-ci95lo-ns,11220.4
ML-KEM-512,encap-wall-mean-ns,11235.4
ML-KEM-512,encap-wall-median-ns,11198
ML-KEM-512,encap-wall-p95-ns,11437
ML-KEM-512,encap-wall-p99-ns,12510
ML-KEM-512,encap-wall-std-ns,240.8
ML-KEM-512,keygen-cyc-mean,52652.4
ML-KEM-512,keygen-cyc-median,47216
ML-KEM-512,keygen-iters,1000
ML-KEM-512,keygen-persec,56860.2
ML-KEM-512,keygen-wall-ci95hi-ns,19966.3
ML-KEM-512,keygen-wall-ci95lo-ns,19271.1
ML-KEM-512,keygen-wall-mean-ns,19618.7
ML-KEM-512,keygen-wall-median-ns,17587
ML-KEM-512,keygen-wall-p95-ns,32770
ML-KEM-512,keygen-wall-p99-ns,33548
ML-KEM-512,keygen-wall-std-ns,5608.1
ML-KEM-512,size-ciphertext-bytes,768
ML-KEM-512,size-key-bits,512
ML-KEM-512,size-privkey-bytes,1632
ML-KEM-512,size-pubkey-bytes,800
ML-KEM-512,size-shared-secret-bytes,32
ML-KEM-768,decap-cyc-mean,61684.3
ML-KEM-768,decap-cyc-median,61520
ML-KEM-768,decap-iters,1000
ML-KEM-768,decap-persec,43649.1
ML-KEM-768,decap-wall-ci95hi-ns,22995.6
ML-KEM-768,decap-wall-ci95lo-ns,22944.5
ML-KEM-768,decap-wall-mean-ns,22970
ML-KEM-768,decap-wall-median-ns,22910
ML-KEM-768,decap-wall-p95-ns,23177
ML-KEM-768,decap-wall-p99-ns,24465
ML-KEM-768,decap-wall-std-ns,463
ML-KEM-768,encap-cyc-mean,39349.3
ML-KEM-768,encap-cyc-median,39218
ML-KEM-768,encap-iters,1000
ML-KEM-768,encap-persec,68446.3
ML-KEM-768,encap-wall-ci95hi-ns,14686.4
ML-KEM-768,encap-wall-ci95lo-ns,14634.3
ML-KEM-768,encap-wall-mean-ns,14659.5
ML-KEM-768,encap-wall-median-ns,14610
ML-KEM-768,encap-wall-p95-ns,14796
ML-KEM-768,encap-wall-p99-ns,16027
ML-KEM-768,encap-wall-std-ns,403.3
ML-KEM-768,keygen-cyc-mean,72874.7
ML-KEM-768,keygen-cyc-median,70638
ML-KEM-768,keygen-iters,1000
ML-KEM-768,keygen-persec,38024.3
ML-KEM-768,keygen-wall-ci95hi-ns,27440.5
ML-KEM-768,keygen-wall-ci95lo-ns,26830.8
ML-KEM-768,keygen-wall-mean-ns,27135.7
ML-KEM-768,keygen-wall-median-ns,26299
ML-KEM-768,keygen-wall-p95-ns,27905
ML-KEM-768,keygen-wall-p99-ns,48681
ML-KEM-768,keygen-wall-std-ns,4918.7
ML-KEM-768,size-ciphertext-bytes,1088
ML-KEM-768,size-key-bits,768
ML-KEM-768,size-privkey-bytes,2400
ML-KEM-768,size-pubkey-bytes,1184
ML-KEM-768,size-shared-secret-bytes,32
ecdh-P-256,derive-cyc-mean,108689.8
ecdh-P-256,derive-cyc-median,108478
ecdh-P-256,derive-iters,1000
ecdh-P-256,derive-persec,24766.6
ecdh-P-256,derive-wall-ci95hi-ns,40504.7
ecdh-P-256,derive-wall-ci95lo-ns,40407.5
ecdh-P-256,derive-wall-mean-ns,40456.1
ecdh-P-256,derive-wall-median-ns,40377
ecdh-P-256,derive-wall-p95-ns,40640
ecdh-P-256,derive-wall-p99-ns,42072
ecdh-P-256,derive-wall-std-ns,722.2
ecdh-P-256,keygen-cyc-mean,39524.9
ecdh-P-256,keygen-cyc-median,32562
ecdh-P-256,keygen-iters,1000
ecdh-P-256,keygen-persec,82385.9
ecdh-P-256,keygen-wall-ci95hi-ns,15133.5
